Timestamp,Dominant Emotion,Emotion Scores,Intensity Scores,FPS,Efficiency,Alerts
2025-09-02 23:40:30,neutral,"{'angry': np.float32(0.00020291474), 'disgust': np.float32(2.2043383e-11), 'fear': np.float32(0.027938962), 'happy': np.float32(0.026910948), 'sad': np.float32(0.04402707), 'surprise': np.float32(0.032437906), 'neutral': np.float32(99.868484)}","{'angry': np.float32(0.00020291474), 'disgust': np.float32(2.2043383e-11), 'fear': np.float32(0.027938962), 'happy': np.float32(0.026910948), 'sad': np.float32(0.04402707), 'surprise': np.float32(0.032437906), 'neutral': np.float32(99.868484), 'stress': np.float64(0.017268270254135132)}",5.67,18.89,
2025-09-02 23:40:30,neutral,"{'angry': np.float32(0.08104359), 'disgust': np.float32(7.0165186e-07), 'fear': np.float32(1.7850429), 'happy': np.float32(0.048425473), 'sad': np.float32(0.8498141), 'surprise': np.float32(3.0488484), 'neutral': np.float32(94.18682)}","{'angry': np.float32(0.08104359), 'disgust': np.float32(7.0165186e-07), 'fear': np.float32(1.7850429), 'happy': np.float32(0.048425473), 'sad': np.float32(0.8498141), 'surprise': np.float32(3.0488484), 'neutral': np.float32(94.18682), 'stress': np.float64(0.7378931045532227)}",7.71,25.72,
2025-09-02 23:40:31,neutral,"{'angry': np.float32(0.0012532533), 'disgust': np.float32(3.2213873e-14), 'fear': np.float32(0.00032448577), 'happy': np.float32(0.2133016), 'sad': np.float32(0.0029538951), 'surprise': np.float32(0.58145326), 'neutral': np.float32(99.200714)}","{'angry': np.float32(0.0012532533), 'disgust': np.float32(3.2213873e-14), 'fear': np.float32(0.00032448577), 'happy': np.float32(0.2133016), 'sad': np.float32(0.0029538951), 'surprise': np.float32(0.58145326), 'neutral': np.float32(99.200714), 'stress': np.float64(0.001189426053315401)}",7.86,26.21,
2025-09-02 23:40:31,neutral,"{'angry': np.float32(1.4871558e-05), 'disgust': np.float32(4.204901e-12), 'fear': np.float32(0.00011398684), 'happy': np.float32(0.5236145), 'sad': np.float32(0.00041646446), 'surprise': np.float32(0.14580269), 'neutral': np.float32(99.33004)}","{'angry': np.float32(1.4871558e-05), 'disgust': np.float32(4.204901e-12), 'fear': np.float32(0.00011398684), 'happy': np.float32(0.5236145), 'sad': np.float32(0.00041646446), 'surprise': np.float32(0.14580269), 'neutral': np.float32(99.33004), 'stress': np.float64(0.00012343756679911166)}",7.0,23.35,
2025-09-02 23:40:31,neutral,"{'angry': np.float32(2.3235905e-06), 'disgust': np.float32(8.0994005e-17), 'fear': np.float32(1.0599755e-05), 'happy': np.float32(0.000103435785), 'sad': np.float32(0.0013549745), 'surprise': np.float32(0.0016858008), 'neutral': np.float32(99.99684)}","{'angry': np.float32(2.3235905e-06), 'disgust': np.float32(8.0994005e-17), 'fear': np.float32(1.0599755e-05), 'happy': np.float32(0.000103435785), 'sad': np.float32(0.0013549745), 'surprise': np.float32(0.0016858008), 'neutral': np.float32(99.99684), 'stress': np.float64(0.00027510427753441036)}",6.12,20.42,
2025-09-02 23:40:31,neutral,"{'angry': np.float32(1.353937e-05), 'disgust': np.float32(8.591378e-12), 'fear': np.float32(0.0057240506), 'happy': np.float32(0.16422929), 'sad': np.float32(0.004150079), 'surprise': np.float32(1.8810205), 'neutral': np.float32(97.94486)}","{'angry': np.float32(1.353937e-05), 'disgust': np.float32(8.591378e-12), 'fear': np.float32(0.0057240506), 'happy': np.float32(0.16422929), 'sad': np.float32(0.004150079), 'surprise': np.float32(1.8810205), 'neutral': np.float32(97.94486), 'stress': np.float64(0.0025526469107717276)}",5.28,17.58,
2025-09-02 23:40:31,neutral,"{'angry': np.float32(9.666122e-07), 'disgust': np.float32(8.796385e-19), 'fear': np.float32(1.8128471e-06), 'happy': np.float32(9.600361e-07), 'sad': np.float32(0.00030059484), 'surprise': np.float32(1.0203759e-05), 'neutral': np.float32(99.99969)}","{'angry': np.float32(9.666122e-07), 'disgust': np.float32(8.796385e-19), 'fear': np.float32(1.8128471e-06), 'happy': np.float32(9.600361e-07), 'sad': np.float32(0.00030059484), 'surprise': np.float32(1.0203759e-05), 'neutral': np.float32(99.99969), 'stress': np.float64(6.10494680586271e-05)}",6.14,20.46,
2025-09-02 23:40:31,neutral,"{'angry': np.float32(1.2785346e-06), 'disgust': np.float32(1.2800586e-15), 'fear': np.float32(0.0002319297), 'happy': np.float32(0.0007015992), 'sad': np.float32(0.0008059415), 'surprise': np.float32(0.021083232), 'neutral': np.float32(99.97718)}","{'angry': np.float32(1.2785346e-06), 'disgust': np.float32(1.2800586e-15), 'fear': np.float32(0.0002319297), 'happy': np.float32(0.0007015992), 'sad': np.float32(0.0008059415), 'surprise': np.float32(0.021083232), 'neutral': np.float32(99.97718), 'stress': np.float64(0.0002312786236871034)}",7.72,25.73,
2025-09-02 23:40:32,neutral,"{'angry': np.float32(1.531188e-05), 'disgust': np.float32(4.3514004e-14), 'fear': np.float32(0.00040014606), 'happy': np.float32(0.0006781244), 'sad': np.float32(0.012529133), 'surprise': np.float32(0.012217158), 'neutral': np.float32(99.97417)}","{'angry': np.float32(1.531188e-05), 'disgust': np.float32(4.3514004e-14), 'fear': np.float32(0.00040014606), 'happy': np.float32(0.0006781244), 'sad': np.float32(0.012529133), 'surprise': np.float32(0.012217158), 'neutral': np.float32(99.97417), 'stress': np.float64(0.002631995128467679)}",5.67,18.9,
2025-09-02 23:40:32,neutral,"{'angry': np.float32(0.04697846), 'disgust': np.float32(1.3571884e-10), 'fear': np.float32(0.07272677), 'happy': np.float32(0.05450225), 'sad': np.float32(0.8994185), 'surprise': np.float32(0.018491134), 'neutral': np.float32(98.90788)}","{'angry': np.float32(0.04697846), 'disgust': np.float32(1.3571884e-10), 'fear': np.float32(0.07272677), 'happy': np.float32(0.05450225), 'sad': np.float32(0.8994185), 'surprise': np.float32(0.018491134), 'neutral': np.float32(98.90788), 'stress': np.float64(0.2204931229352951)}",5.77,19.24,
